0,0.223,0.002,tensor(1.4724),tensor(64.6849),tensor(83.1708),0.0005
1,0.225,0.003,tensor(0.2976),tensor(91.9576),tensor(99.2241),0.0005
2,0.225,0.003,tensor(0.1453),tensor(96.3615),tensor(99.8113),0.0005
3,0.225,0.003,tensor(0.0856),tensor(98.0078),tensor(99.9056),0.0005
4,0.225,0.003,tensor(0.0593),tensor(98.7837),tensor(99.9685),0.0005
5,0.225,0.003,tensor(0.0428),tensor(99.2136),tensor(99.9895),0.0005
6,0.225,0.003,tensor(0.0295),tensor(99.5386),tensor(100.),5e-05
7,0.225,0.003,tensor(0.0222),tensor(99.7379),tensor(100.),5e-05
8,0.225,0.003,tensor(0.0232),tensor(99.7274),tensor(99.9895),5e-05
9,0.225,0.003,tensor(0.0236),tensor(99.6225),tensor(99.9895),5e-05
10,0.225,0.003,tensor(0.0232),tensor(99.6435),tensor(99.9895),5e-06
11,0.224,0.003,tensor(0.0218),tensor(99.7379),tensor(100.),5e-06
12,0.225,0.003,tensor(0.0204),tensor(99.7693),tensor(99.9895),5.000000000000001e-07
13,0.225,0.003,tensor(0.0204),tensor(99.7379),tensor(100.),5.000000000000001e-07
14,0.225,0.003,tensor(0.0210),tensor(99.7798),tensor(100.),5.000000000000001e-08
15,0.225,0.003,tensor(0.0219),tensor(99.6645),tensor(99.9895),5.000000000000001e-08
16,0.225,0.003,tensor(0.0203),tensor(99.7484),tensor(100.),5.000000000000001e-08
17,0.225,0.003,tensor(0.0186),tensor(99.7798),tensor(100.),5.000000000000002e-09
18,0.225,0.003,tensor(0.0195),tensor(99.7379),tensor(100.),5.000000000000002e-09
19,0.225,0.003,tensor(0.0206),tensor(99.6854),tensor(99.9790),5.000000000000002e-09
20,0.224,0.003,tensor(0.0203),tensor(99.8008),tensor(100.),5.000000000000002e-09
21,0.225,0.003,tensor(0.0193),tensor(99.8113),tensor(100.),5.000000000000002e-09
22,0.225,0.003,tensor(0.0208),tensor(99.7379),tensor(100.),5.000000000000002e-09
23,0.225,0.003,tensor(0.0212),tensor(99.7379),tensor(100.),5.000000000000002e-09
24,0.225,0.003,tensor(0.0203),tensor(99.7588),tensor(99.9790),5.000000000000002e-09
25,0.225,0.003,tensor(0.0205),tensor(99.7064),tensor(99.9895),5.000000000000002e-09
26,0.225,0.003,tensor(0.0210),tensor(99.7274),tensor(99.9685),5.000000000000002e-09
27,0.225,0.003,tensor(0.0214),tensor(99.7903),tensor(100.),5.000000000000002e-09
28,0.225,0.003,tensor(0.0212),tensor(99.7064),tensor(99.9790),5.000000000000002e-09
29,0.225,0.003,tensor(0.0200),tensor(99.8217),tensor(99.9895),5.000000000000002e-09
30,0.225,0.003,tensor(0.0200),tensor(99.7903),tensor(99.9895),5.000000000000002e-09
31,0.225,0.003,tensor(0.0203),tensor(99.6854),tensor(100.),5.000000000000002e-09
32,0.225,0.003,tensor(0.0202),tensor(99.7274),tensor(100.),5.000000000000002e-09
33,0.225,0.003,tensor(0.0193),tensor(99.7169),tensor(100.),5.000000000000002e-09
34,0.225,0.003,tensor(0.0209),tensor(99.7274),tensor(99.9790),5.000000000000002e-09
35,0.225,0.003,tensor(0.0202),tensor(99.7169),tensor(100.),5.000000000000002e-09
36,0.225,0.003,tensor(0.0216),tensor(99.6225),tensor(99.9895),5.000000000000002e-09
37,0.225,0.003,tensor(0.0184),tensor(99.7903),tensor(100.),5.000000000000002e-09
38,0.225,0.003,tensor(0.0201),tensor(99.6854),tensor(100.),5.000000000000002e-09
39,0.225,0.003,tensor(0.0195),tensor(99.7274),tensor(100.),5.000000000000002e-09
